issn,分类,总被引频次,影响因子,分区
1570-8705,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4462,3.151,2
1554-0669,"COMPUTER SCIENCE, INFORMATION SYSTEMS",255,3.125,3
2162-2337,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2474,3.096,3
1536-1268,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2048,3.022,3
1574-1192,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1874,2.974,3
2157-6904,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3392,2.973,3
1386-5056,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4584,2.957,3
2325-6095,"COMPUTER SCIENCE, INFORMATION SYSTEMS",417,2.912,3
1536-9323,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1842,2.839,3
2330-1635,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1904,2.835,3
1570-7873,"COMPUTER SCIENCE, INFORMATION SYSTEMS",687,2.8,3
1041-4347,"COMPUTER SCIENCE, INFORMATION SYSTEMS",9373,2.775,3
0742-1222,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4560,2.744,3
1943-0620,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2340,2.742,3
1066-8888,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2197,2.689,3
0167-4048,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2630,2.65,3
0950-5849,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3567,2.627,3
0140-3664,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4814,2.613,3
1867-0202,"COMPUTER SCIENCE, INFORMATION SYSTEMS",696,2.596,3
1094-9224,"COMPUTER SCIENCE, INFORMATION SYSTEMS",843,2.591,3
1567-4223,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1789,2.582,3
0306-4379,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1790,2.551,3
1389-1286,"COMPUTER SCIENCE, INFORMATION SYSTEMS",9123,2.522,3
1383-469X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1810,2.497,3
1384-5810,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2876,2.481,3
1365-8816,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5019,2.37,3
1550-4859,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1442,2.313,3
0219-1377,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2343,2.247,3
1570-0844,"COMPUTER SCIENCE, INFORMATION SYSTEMS",522,2.224,3
1674-733X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2034,2.188,3
0018-9448,"COMPUTER SCIENCE, INFORMATION SYSTEMS",35751,2.187,3
1874-5482,"COMPUTER SCIENCE, INFORMATION SYSTEMS",350,2.15,3
1384-6175,"COMPUTER SCIENCE, INFORMATION SYSTEMS",660,2.091,3
1551-6857,"COMPUTER SCIENCE, INFORMATION SYSTEMS",781,2.019,3
1022-0038,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2836,1.981,3
2192-1962,"COMPUTER SCIENCE, INFORMATION SYSTEMS",249,1.967,3
0165-5515,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1792,1.939,3
1617-4909,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2226,1.924,3
1070-986X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",844,1.898,3
1047-3203,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2744,1.836,3
1550-1477,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4254,1.787,3
1742-2876,"COMPUTER SCIENCE, INFORMATION SYSTEMS",891,1.771,3
1046-8188,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1582,1.767,3
0219-6220,"COMPUTER SCIENCE, INFORMATION SYSTEMS",852,1.755,3
1064-7570,"COMPUTER SCIENCE, INFORMATION SYSTEMS",351,1.75,3
0947-3602,"COMPUTER SCIENCE, INFORMATION SYSTEMS",526,1.75,3
0004-5411,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6167,1.744,4
1533-5399,"COMPUTER SCIENCE, INFORMATION SYSTEMS",482,1.727,4
0942-4962,"COMPUTER SCIENCE, INFORMATION SYSTEMS",726,1.703,4
1751-7575,"COMPUTER SCIENCE, INFORMATION SYSTEMS",597,1.683,4
1468-4527,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1218,1.675,4
1615-5262,"COMPUTER SCIENCE, INFORMATION SYSTEMS",526,1.658,4
1520-9202,"COMPUTER SCIENCE, INFORMATION SYSTEMS",592,1.618,4
1386-7857,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1163,1.601,4
0887-4417,"COMPUTER SCIENCE, INFORMATION SYSTEMS",928,1.557,4
1380-7501,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4753,1.541,4
0026-1270,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1462,1.531,4
1936-6442,"COMPUTER SCIENCE, INFORMATION SYSTEMS",475,1.514,4
1556-4681,"COMPUTER SCIENCE, INFORMATION SYSTEMS",895,1.489,4
1386-4564,"COMPUTER SCIENCE, INFORMATION SYSTEMS",871,1.488,4
0169-023X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1520,1.467,4
2050-3806,"COMPUTER SCIENCE, INFORMATION SYSTEMS",193,1.461,4
1868-5137,"COMPUTER SCIENCE, INFORMATION SYSTEMS",515,1.423,4
